Intensity 31_200_PSCARB_10	Intensity 32_200_psCARB_100	Intensity 33_SMALL_CITRATE_10	Intensity 34_LARGE_CITRATE_10	Intensity 35_SMALL_PEI_10	Intensity 36_LARGE_PEI_10	Intensity 37_LARGE_PVP@AU_100	Intensity 38_SMALL_PVP@AU_10	Intensity 39_SMALL_PVP@AU_100	Intensity 40_LARGE_CITRATE_100	Intensity 41_LARGE_PEI_100	Intensity 42_SMALL_CITRATE_100	Intensity 43_SMALL_PEI_100	Intensity 44_LARGE_PVP@AU_10	Intensity 45_LARGE_PEG@AU_100	Intensity 46_LARGE_PEI@AU_100	Intensity 47_SMALL_PEI@AU_100	Intensity 48_200_PSCARB_PEG_100	Intensity 49_200_PSCARB_PEG_100(B)	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	Top3 31_200_PSCARB_10	Top3 32_200_psCARB_100	Top3 33_SMALL_CITRATE_10	Top3 34_LARGE_CITRATE_10	Top3 35_SMALL_PEI_10	Top3 36_LARGE_PEI_10	Top3 37_LARGE_PVP@AU_100	Top3 38_SMALL_PVP@AU_10	Top3 39_SMALL_PVP@AU_100	Top3 40_LARGE_CITRATE_100	Top3 41_LARGE_PEI_100	Top3 42_SMALL_CITRATE_100	Top3 43_SMALL_PEI_100	Top3 44_LARGE_PVP@AU_10	Top3 45_LARGE_PEG@AU_100	Top3 46_LARGE_PEI@AU_100	Top3 47_SMALL_PEI@AU_100	Top3 48_200_PSCARB_PEG_100	Top3 49_200_PSCARB_PEG_100(B)	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	iBAQ 31_200_PSCARB_10	iBAQ 32_200_psCARB_100	iBAQ 33_SMALL_CITRATE_10	iBAQ 34_LARGE_CITRATE_10	iBAQ 35_SMALL_PEI_10	iBAQ 36_LARGE_PEI_10	iBAQ 37_LARGE_PVP@AU_100	iBAQ 38_SMALL_PVP@AU_10	iBAQ 39_SMALL_PVP@AU_100	iBAQ 40_LARGE_CITRATE_100	iBAQ 41_LARGE_PEI_100	iBAQ 42_SMALL_CITRATE_100	iBAQ 43_SMALL_PEI_100	iBAQ 44_LARGE_PVP@AU_10	iBAQ 45_LARGE_PEG@AU_100	iBAQ 46_LARGE_PEI@AU_100	iBAQ 47_SMALL_PEI@AU_100	iBAQ 48_200_PSCARB_PEG_100	iBAQ 49_200_PSCARB_PEG_100(B)	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Taxonomy names
0	0	0	0	3686100	15798000	0	0	0	0	0	0	11293000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9938800	19592000	0	0	0	0	0	0	26091000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67020	178320	0	0	0	0	0	0	205320	0	0	0	0	0	0	0	0	0	0				9913	11	4	4	15.7	5.9	5.9	104.93	0	30.769	30777000	5	A5D7D1	A5D7D1			9	Bos taurus
0	2137900	0	0	0	18183000	0	0	0	0	23751000	0	32106000	0	0	0	16416000	0	16251000	0	0	4221200	0	0	6064900	0	0	0	29844000	0	0	0	0	36680000	0	29385000	0	0	0	15684000	0	11137000	0	0	16439000	0	0	133620	0	0	0	1136500	0	0	0	0	1021400	0	2006600	0	0	0	428780	0	545650	0	0	263830	0				9913	6	6	6	28.2	28.2	28.2	31.141	0	38.315	113070000	18	A5D989	A5D989			10	Bos taurus
0	0	10402000	8253300	42271000	41212000	0	0	0	0	697939968	9546400	263560000	0	49061000	1021500	285500000	0	0	0	12062000	19236000	16295000	0	0	18283000	14506000	29020000	33181000	0	0	0	0	318200000	16779000	157950000	0	45785000	1795400	133890000	0	0	0	21200000	23832000	28640000	0	0	743020	589520	484900	838550	0	0	0	0	17626000	681890	5019300	0	819850	72965	4313000	0	0	0	861590	457420	1163900				9913	10	10	9	42.7	42.7	40.2	45.376	0	323.31	1456400000	62	A6H767	A6H767			13	Bos taurus
10770000	5580900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31215000	44778000	0	0	0	0	15088000	4652400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12228000	15650000	0	0	0	0	512840	213290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1274200	1382900	0	0	0	0				9913	14	14	14	41.1	41.1	41.1	42.226	0	96.13	92343000	32	A6H768	A6H768			14	Bos taurus
0	0	219390000	0	110930000	0	0	0	0	0	0	155900000	0	40631000	34666000	0	64165000	0	0	0	0	0	0	0	0	219390000	0	110930000	0	0	0	0	0	0	155900000	0	40631000	34666000	0	64165000	0	0	0	0	0	0	0	0	5350900	0	2705700	0	0	0	0	0	0	3802500	0	990990	845510	0	1565000	0	0	0	0	0	0				9913	2	2	2	2.8	2.8	2.8	83.075	0.0075758	3.6105	625680000	7	A6QNM8	A6QNM8			16	Bos taurus
0	0	0	0	0	0	0	0	0	11325000	0	0	0	0	7186200	0	0	0	0	0	8723400	8080100	10010000	0	0	0	0	0	0	0	0	0	45325000	0	0	0	0	9579700	0	0	0	0	0	11629000	10771000	13345000	0	0	0	0	0	0	0	0	0	707800	0	0	0	0	449140	0	0	0	0	0	545210	505010	625650				9913	2	2	2	11	11	11	34.733	0.0074257	3.439	45325000	5	A6QP70	A6QP70			18	Bos taurus
0	0	0	0	0	0	37921000	0	72366000	76669000	32576000	4380300	72738000	6518200	10478000	10251000	0	0	0	194930000	83541000	37673000	104380000	0	0	0	0	0	0	37921000	0	90190000	95552000	32576000	5459100	72738000	6518200	10478000	12776000	0	0	0	194930000	83541000	37673000	104380000	0	0	0	0	0	0	537340	0	2783300	2948800	856980	168470	920920	179070	309350	394260	0	0	0	1140400	555300	527110	631610				9913	3	1	1	9.6	5.3	5.3	46.963	0	15.983	744420000	44	A6QPQ2	A6QPQ2			19	Bos taurus
5044900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6868600	11913000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11913000	168160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228950				9913	4	4	4	23.3	23.3	23.3	56.854	0	9.3232	11913000	3	A6QQF6	A6QQF6			20	Bos taurus
5195600	0	11038000	8879700	5327800	7106000	0	0	0	0	0	0	12032000	0	0	0	11284000	2705800	4163000	0	0	0	0	5195600	0	11038000	8879700	5327800	7106000	0	0	0	0	0	0	12032000	0	0	0	11284000	2705800	4163000	0	0	0	0	399660	0	849100	683050	409830	546610	0	0	0	0	0	0	925530	0	0	0	867990	208140	320230	0	0	0	0				9913	1	1	1	5.3	5.3	5.3	23.461	0	5.8913	67732000	9	A6QR46	A6QR46			21	Bos taurus
0	0	8032400	0	1870000000	1709699968	19112000	0	16043000	10319000	326360000	0	317849984	3581400	0	5996400	167140000	0	0	23002000	261240000	274280000	236820000	0	0	26444000	0	760659968	777249984	17963000	0	19030000	19134000	162660000	0	198640000	6640700	0	4689500	96725000	0	0	35490000	143470000	135300000	148940000	0	0	365110	0	49442000	42298000	279890	0	326070	469050	8668400	0	7329100	162790	0	115180	3974800	0	0	1045600	6154500	7340900	5648500				9913	18	18	18	37.5	37.5	37.5	62.126	0	318.15	5249500000	136	A7E3W2	A7E3W2			22	Bos taurus
0	995590	0	0	0	0	9504200	0	58949000	20031000	0	0	0	0	0	0	0	0	1549600	0	0	0	0	0	1603700	0	0	0	0	15310000	0	58949000	32266000	0	0	0	0	0	0	0	0	4086500	0	0	0	0	0	110620	0	0	0	0	1056000	0	6549900	2225600	0	0	0	0	0	0	0	0	172180	0	0	0	0				9913	2	2	2	10.8	10.8	10.8	21.355	0.0097324	3.2754	91030000	6	P02253;A7MAZ5;G3N131	P02253;A7MAZ5;G3N131			23	Bos taurus;Bos taurus;Bos taurus
0	0	0	0	0	0	0	0	0	0	85738000	0	0	0	0	0	8126200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55067000	0	0	0	0	0	18068000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784270	0	0	0	0	0	131070	0	0	0	0	0	0				9913	6	6	6	6.7	6.7	6.7	136.37	0	17.61	93865000	7	A7MBJ5	A7MBJ5			24	Bos taurus
0	0	0	0	0	0	0	0	0	0	41990000	0	0	0	0	0	6011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41990000	0	0	0	0	0	7725100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024100	0	0	0	0	0	146630	0	0	0	0	0	0				9913	2	2	2	3.9	3.9	3.9	64.962	0	14.426	48001000	3	C0HLN2	C0HLN2			26	Bos taurus
2637100	0	0	0	0	0	4304500	0	0	0	14717000	0	18291000	0	4299200	0	0	0	0	49074000	3875800	2898300	0	0	0	0	0	0	0	0	0	0	0	20774000	0	14754000	0	5914700	0	0	0	0	42139000	13293000	9940500	0	125580	0	0	0	0	0	204970	0	0	0	700820	0	870980	0	204720	0	0	0	0	2336800	184560	138010	0				9913	6	6	6	17.1	17.1	17.1	45.102	0	20.428	100100000	19	E1BF81	E1BF81			44	Bos taurus
2532000	1198400	0	3234700	0	0	2248500	0	18118000	15340000	0	5876400	0	0	0	0	0	0	0	0	3984900	3513700	3974700	3572100	1690700	0	4563400	0	0	3172100	0	19662000	19482000	0	8290200	0	0	0	0	0	0	0	0	5621800	4957000	5607300	120570	57068	0	154030	0	0	107070	0	255090	730490	0	279830	0	0	0	0	0	0	0	0	189760	167320	189270				9913	3	3	3	6.8	6.8	6.8	51.906	0	15.474	60022000	12	F1N152	F1N152			45	Bos taurus
26753000	1412500	21168000	32898000	35225000	63114000	176780000	1660900	157530000	217280000	330969984	58292000	243090000	15955000	55037000	2774800	21684000	0	0	545470016	116410000	117110000	107620000	21517000	2735700	23550000	32233000	33031000	40867000	84635000	0	89913000	114140000	133350000	43564000	118640000	14172000	37139000	3321900	21648000	0	0	207630000	55407000	76856000	63504000	350000	42802	218300	317230	395430	506440	1907600	50330	1775000	2770400	4469900	799410	3232500	226890	528630	26609	225460	0	0	7425800	1718600	1375600	1204100				9913	18	18	18	39.1	39.1	39.1	69.561	0	170.88	2348200000	181	G3MYZ3	G3MYZ3			46	Bos taurus
0	0	0	0	0	0	0	0	2965900	0	19039000	0	0	0	4845000	0	3671100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7530600	0	22010000	0	0	0	3875200	0	27203000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109850	0	230420	0	0	0	56527	0	135970	0	0	0	0	0	0				9913	4	4	4	10.4	10.4	10.4	61.007	0	10.355	30521000	6	G3X745	G3X745			47	Bos taurus
0	0	8159000	30680000	0	6385700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6786200	5084700	0	0	12276000	30680000	0	9607900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10210000	7650400	0	0	627620	2360000	0	491210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522010	391130				9913	2	2	2	8.8	8.8	8.8	26.471	0	8.9473	57095000	7	O02659	O02659			48	Bos taurus
0	775000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9913	2	2	2	4.7	4.7	4.7	62.277	0.0075	3.4754	775000	2	O02675	O02675			49	Bos taurus
0	0	0	0	0	0	0	1658900	0	0	0	0	0	0	0	0	0	0	0	0	30014000	0	0	0	0	0	0	0	0	0	31673000	0	0	0	0	0	0	0	0	0	0	0	0	31673000	0	0	0	0	0	0	0	0	0	14425	0	0	0	0	0	0	0	0	0	0	0	0	260990	0	0				9913	2	2	2	1.2	1.2	1.2	235.15	0.0097561	3.3084	31673000	2	O02811	O02811			50	Bos taurus
8655300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8655300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9913	2	2	2	2.7	2.7	2.7	97.32	0.002611	4.0635	8655300	2	O18738	O18738			51	Bos taurus
1582300	1401400	0	0	1777700	0	33132000	0	61244000	30649000	0	5026500	13541000	0	50833000	0	0	0	0	0	6814100	5395000	16712000	2921000	2587000	0	0	3281600	0	33527000	0	46836000	36895000	0	9279100	19044000	0	39531000	0	0	0	0	0	12579000	9959300	8044400	68796	60930	0	0	77289	0	1440500	0	2046900	1332600	0	218540	588730	0	1718700	0	0	0	0	0	296270	234570	189470				9913	10	10	10	37.5	37.5	37.5	37.924	0	21.301	228110000	24	O18739	O18739			52	Bos taurus
15843000	1893700	0	0	65817000	60539000	0	0	0	0	229170000	7320700	175680000	0	1966700	7652900	130980000	0	0	0	21253000	24150000	24904000	17811000	2495300	0	0	55971000	57630000	0	0	0	0	229170000	9646700	163950000	0	2591600	10084000	125590000	0	0	0	24446000	23134000	28645000	275290	189370	0	0	2435900	1526700	0	0	0	0	5118000	732070	6752800	0	196670	765290	2733300	0	0	0	391990	821490	496070				9913	6	6	6	16.2	16.2	16.2	27.494	0	28.984	767170000	38	O18979	O18979			53	Bos taurus
726860032	138760000	3209600000	3477299968	1262000000	1152400000	2405600000	614929984	2258200064	3052000000	3582200064	1388199936	2572400128	423200000	1270899968	124860000	870169984	45928000	140860000	4465999872	2746099968	1794099968	2714299904	412340000	79671000	1739399936	1807299968	625510016	552710016	1046699968	320289984	1195399936	1505500032	1865299968	898510016	1533600000	279620000	598889984	54942000	445729984	34636000	90132000	2041100032	1272099968	789169984	1282000000	30132000	4232300	99478000	105760000	38383000	59998000	80493000	18611000	63461000	86949000	108360000	57189000	91492000	14799000	60636000	5367200	53290000	1460600	4130300	160410000	80862000	75429000	100430000				9913	9	9	9	67.3	67.3	67.3	15.727	0	323.31	40437000000	423	O46375	O46375			54	Bos taurus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6799900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6799900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194280	0	0	0				9913	1	1	1	1.6	1.6	1.6	84.882	0	7.7991	6799900	2	O46406;Q29437;Q9TTK6	O46406;Q29437;Q9TTK6			55	Bos taurus;Bos taurus;Bos taurus
0	0	0	0	10894000	15357000	0	0	0	0	5122000	0	8765200	0	0	0	0	0	0	0	0	0	4115200	0	0	0	0	21683000	19183000	0	0	0	0	7682200	0	10119000	0	0	0	0	0	0	0	0	0	6172200	0	0	0	0	990370	458380	0	0	0	0	465630	0	290160	0	0	0	0	0	0	0	0	0	374110				9913	4	4	4	26	26	26	21.051	0	15.349	44253000	9	O46414	O46414			56	Bos taurus
0	0	5205700	0	74704000	78505000	0	0	0	0	17723000	0	29980000	2008700	0	0	0	0	0	5950300	9154200	9562500	7815500	0	0	8270400	0	52213000	54343000	0	0	0	0	28157000	0	36602000	3191200	0	0	0	0	0	9453300	14543000	15192000	12416000	0	0	473250	0	3246900	2715800	0	0	0	0	1611200	0	1146900	182610	0	0	0	0	0	540940	832200	869320	710500				9913	5	5	5	41.7	41.7	41.7	19.987	0	44.253	240610000	24	O46415	O46415			57	Bos taurus
3735500	2843400	15304000	10593000	7449700	0	0	7759000	0	0	0	0	0	10890000	0	0	0	0	0	0	0	0	0	3735500	2843400	15304000	10593000	7449700	0	0	7759000	0	0	0	0	0	10890000	0	0	0	0	0	0	0	0	0	177880	135400	728770	504440	354750	0	0	369480	0	0	0	0	0	518580	0	0	0	0	0	0	0	0	0				9913	1	1	1	2.6	2.6	2.6	54.684	0.0096386	3.2109	58575000	7	O46470	O46470			58	Bos taurus
2027600	0	23736000	36448000	6615800	0	450840000	64472000	866600000	485200000	0	117000000	0	42818000	120910000	1176200	0	0	0	0	98806000	140400000	118280000	17907000	0	37354000	32914000	15236000	0	355329984	57733000	640689984	343769984	0	107330000	0	40362000	109200000	2708800	0	0	0	0	89115000	122040000	110050000	289650	0	371760	504890	945110	0	13645000	962740	32272000	20204000	0	1381100	0	350800	1672200	168030	0	0	0	0	1384500	2623500	1176100				9913	5	5	5	46.4	46.4	46.4	16.32	0	127.08	2575300000	77	O62644	O62644			59	Bos taurus
0	0	0	0	285310016	290409984	0	0	6133000	0	1224400000	24034000	831100032	2291700	0	34207000	749129984	0	0	0	81938000	76543000	81039000	0	0	0	0	280230016	282030016	0	0	10350000	0	1477600000	30029000	831100032	3867300	0	37967000	726400000	0	0	0	102380000	95636000	101250000	0	0	0	0	35029000	35254000	0	0	766630	0	147830000	3004300	103890000	286470	0	4275900	90800000	0	0	0	10242000	9567900	10130000				9913	4	4	4	8.3	8.3	8.3	49.116	0	51.954	3686500000	36	O77742	O77742			60	Bos taurus
0	0	0	0	0	0	0	17114000	0	0	0	0	0	16995000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7659200	0	0	0	0	0	9485900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395380	0	0	0	0	0	279570	0	0	0	0	0	0	0	0	0				9913	10	10	10	18.7	18.7	18.7	81.886	0	56.22	34109000	14	O77783	O77783			61	Bos taurus
53699000	6883900	0	0	0	0	0	0	0	0	0	0	0	3823700	0	0	0	0	0	0	0	0	0	39946000	8117700	0	0	0	0	0	0	0	0	0	0	0	9325400	0	0	0	0	0	0	0	0	0	810620	221900	0	0	0	0	0	0	0	0	0	0	0	254910	0	0	0	0	0	0	0	0	0				9913	5	5	5	34.4	34.4	34.4	25.067	0	17.943	64406000	11	O77834	O77834			62	Bos taurus
0	1038900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9913	1	1	1	12.4	12.4	12.4	11.812	0	4.9984	1038900	1	O97680	O97680			63	Bos taurus
0	0	0	0	0	0	7322000	0	17562000	19544000	0	0	0	0	5318800	0	0	16012000	6740600	0	0	0	0	0	0	0	0	0	0	14949000	0	18460000	28513000	0	0	0	0	6547600	0	0	6764600	4675500	0	0	0	0	0	0	0	0	0	0	252480	0	240570	183320	0	0	0	0	90549	0	0	335490	110940	0	0	0	0				9913	9	9	9	21.8	21.8	21.8	59.915	0	78.037	72499000	19	P00432	P00432			66	Bos taurus
5966700032	5303300096	7876199936	5642100224	21851000832	20400001024	4475100160	2657499904	6147700224	13939999744	18006999040	9411999744	14517999616	2227899904	2069799936	1620400000	24412000256	508060000	1808499968	744099968	10284000256	9961400320	10803000320	698110016	640449984	1073200000	781880000	4172000000	5001500160	555619968	279230016	779880000	2185900032	7836199936	1229400064	3908999936	410590016	305660000	673790016	7056000000	6239200	740129984	260080000	1886599936	1784400000	1974999936	47763000	30491000	71996000	53321000	300790016	325460000	37690000	25210000	50529000	113470000	389880000	81415000	263690000	22546000	17259000	33423000	511449984	3576100	10597000	12252000	118500000	121630000	125170000				9913	55	55	55	70.7	70.7	70.7	70.505	0	323.31	200640000000	1815	P00735	P00735			67	Bos taurus
